売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-12-01,京都,伊藤,31,1007601,2805013,Nいため鍋28cm,鍋,Nいため鍋,28cm,1407,田上企画,4,3600,420,900
2025-12-01,京都,田中,31,1007616,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1212,杉野興業,6,9480,1704,1580
2025-12-01,京都,佐藤,31,1007622,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1212,杉野興業,4,2660,520,665
2025-12-01,京都,加藤,31,1007646,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1195,木田本舗,62,21700,3410,350
2025-12-01,京都,高橋,31,1007652,1905158,フライパン28cm,フライパン,フライパン,28cm,1193,相馬事務所,3,4875,885,1625
2025-12-01,京都,高橋,31,1007661,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1182,薬師丸本舗,4,1440,260,360
2025-12-01,京都,田中,31,1007682,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1093,山川事務所,12,5760,1080,480
2025-12-01,京都,田中,31,1007700,605001,SSテンプラバットM,その他,SSテンプラバットM,,1024,蒼井食堂,5,3900,1800,780
2025-12-01,京都,鈴木,31,1007703,805099,SPフライパン24cm,フライパン,SPフライパン,24cm,1024,蒼井食堂,6,8400,1272,1400
2025-12-01,京都,佐藤,31,1007724,2305219,P玉子焼き,フライパン,P玉子焼き,,1024,蒼井食堂,5,1600,295,320
2025-12-01,京都,田中,31,1007733,2305052,Pイタメナベ28cm,鍋,Pイタメナベ,28cm,1024,蒼井食堂,5,6600,1200,1320
2025-12-01,京都,田中,31,1007736,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1023,寺田企画,4,3480,640,870
2025-12-01,京都,渡辺,31,1007811,2305219,P玉子焼き,フライパン,P玉子焼き,,1002,水野商事,31,9734,1643,314
2025-12-01,京都,佐藤,31,1007823,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,5,1775,300,355
2025-12-01,京都,佐藤,31,1007850,2305645,P中華スキンマー,お玉,P中華スキンマー,,1002,水野商事,3,1275,204,425
2025-12-03,京都,佐藤,31,1007853,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1153,米谷サービス,3,6450,1050,2150
2025-12-03,京都,鈴木,31,1007865,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1022,首藤商事,3,7440,960,2480
2025-12-06,京都,渡辺,31,1007871,2305631,P両手天ぷら20cm,鍋,P両手天ぷら,20cm,1205,川島食堂,3,2640,540,880
2025-12-07,京都,伊藤,31,1007904,805099,SPフライパン24cm,フライパン,SPフライパン,24cm,1212,杉野興業,5,7000,1060,1400
2025-12-07,京都,加藤,31,1007913,805099,SPフライパン24cm,フライパン,SPフライパン,24cm,1208,藤井興業,4,5600,848,1400
2025-12-07,京都,鈴木,31,1007937,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1193,相馬事務所,3,1650,300,550
2025-12-07,京都,佐藤,31,1007940,2305219,P玉子焼き,フライパン,P玉子焼き,,1193,相馬事務所,4,1280,236,320
2025-12-07,京都,渡辺,31,1007958,2305010,Pフライパン24cm,フライパン,Pフライパン,24cm,1153,米谷サービス,3,4125,750,1375
2025-12-07,京都,鈴木,31,1007961,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1153,米谷サービス,5,3325,650,665
2025-12-07,京都,渡辺,31,1007985,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1023,寺田企画,22,10010,1430,455
2025-12-07,京都,伊藤,31,1007988,805089,SP目玉焼,フライパン,SP目玉焼,,1022,首藤商事,6,6480,1296,1080
2025-12-07,京都,高橋,31,1008018,1905150,フライパン26cm,フライパン,フライパン,26cm,1022,首藤商事,4,7784,1448,1946
2025-12-07,京都,中村,31,1008042,2305638,Pフライパンカバー24~28用,フライパン,Pフライパンカバー,24~28用,1002,水野商事,5,1410,240,282
2025-12-07,京都,高橋,31,1008045,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1002,水野商事,30,24000,4200,800
2025-12-07,京都,小林,31,1008063,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1002,水野商事,6,3174,474,529
2025-12-07,京都,鈴木,31,1008069,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,54,19170,3240,355
2025-12-07,京都,高橋,31,1008075,2305219,P玉子焼き,フライパン,P玉子焼き,,1002,水野商事,27,8478,1431,314
2025-12-09,京都,山本,31,1008096,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1154,加納企画,4,10800,2400,2700
2025-12-09,京都,山本,31,1008099,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1154,加納企画,4,9000,2000,2250
2025-12-09,京都,鈴木,31,1008117,1905149,フライパン24cm,フライパン,フライパン,24cm,1154,加納企画,4,8100,2160,2025
2025-12-12,京都,鈴木,31,1008132,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1093,山川事務所,12,5760,600,480
2025-12-13,京都,佐藤,31,1008141,2305052,Pイタメナベ28cm,鍋,Pイタメナベ,28cm,1154,加納企画,3,4050,810,1350
2025-12-13,京都,小林,31,1008144,2305629,Pフッソオイルポット,ポット,Pフッソオイルポット,,1154,加納企画,3,1569,519,523
2025-12-14,京都,小林,31,1008159,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1210,池本工業,3,6450,1050,2150
2025-12-14,京都,高橋,31,1008228,2305219,P玉子焼き,フライパン,P玉子焼き,,1024,蒼井食堂,5,1600,295,320
2025-12-14,京都,山本,31,1008231,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1024,蒼井食堂,4,3480,640,870
2025-12-14,京都,伊藤,31,1008249,2305219,P玉子焼き,フライパン,P玉子焼き,,1022,首藤商事,4,1280,236,320
2025-12-14,京都,佐藤,31,1008270,2305219,P玉子焼き,フライパン,P玉子焼き,,1017,沢田工業,5,1600,295,320
2025-12-14,京都,小林,31,1008273,16805006,温度計付天ぷら鍋21cm,鍋,温度計付天ぷら鍋,21cm,1002,水野商事,19,11020,950,580
2025-12-14,京都,渡辺,31,1008294,2305061,Pオイルポット1.6L,ポット,Pオイルポット,1.6L,1002,水野商事,11,10989,1749,999
2025-12-14,京都,高橋,31,1008312,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,56,19880,3360,355
2025-12-14,京都,高橋,31,1008324,2305639,P鉄製フライパン26cm,フライパン,P鉄製フライパン,26cm,1002,水野商事,4,4200,712,1050
2025-12-14,京都,田中,31,1008333,2305207,P中華お玉,お玉,P中華お玉,,1002,水野商事,11,5038,836,458
2025-12-15,京都,田中,31,1008351,2305639,P鉄製フライパン26cm,フライパン,P鉄製フライパン,26cm,1002,水野商事,1,1050,178,1050
2025-12-16,京都,渡辺,31,1008360,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1154,加納企画,4,3460,620,865
2025-12-16,京都,鈴木,31,1008363,2305631,P両手天ぷら20cm,鍋,P両手天ぷら,20cm,1154,加納企画,1,1100,400,1100
2025-12-16,京都,山本,31,1008366,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1154,加納企画,4,4840,2200,1210
2025-12-16,京都,伊藤,31,1008369,16805008,PPフライパン26cm,フライパン,PPフライパン,26cm,1193,相馬事務所,22,10120,1540,460
2025-12-17,京都,鈴木,31,1008387,1905158,フライパン28cm,フライパン,フライパン,28cm,1210,池本工業,3,4875,885,1625
2025-12-17,京都,加藤,31,1008393,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1208,藤井興業,5,12400,1600,2480
2025-12-17,京都,鈴木,31,1008402,1905150,フライパン26cm,フライパン,フライパン,26cm,1024,蒼井食堂,4,7784,1448,1946
2025-12-20,京都,伊藤,31,1008438,15305001,鉄玉子,その他,鉄玉子,,1136,前川サービス,30,13200,2850,440
2025-12-21,京都,加藤,31,1008471,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1024,蒼井食堂,3,7050,1110,2350
2025-12-21,京都,渡辺,31,1008489,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1022,首藤商事,5,2750,500,550
2025-12-21,京都,山本,31,1008507,2305631,P両手天ぷら20cm,鍋,P両手天ぷら,20cm,1022,首藤商事,3,2700,600,900
2025-12-21,京都,鈴木,31,1008531,605001,SSテンプラバットM,その他,SSテンプラバットM,,1002,水野商事,5,2600,500,520
2025-12-21,京都,田中,31,1008534,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,14,4970,840,355
2025-12-21,京都,佐藤,31,1008552,2305061,Pオイルポット1.6L,ポット,Pオイルポット,1.6L,1002,水野商事,8,7992,1272,999
2025-12-21,京都,鈴木,31,1008564,2305639,P鉄製フライパン26cm,フライパン,P鉄製フライパン,26cm,1002,水野商事,3,3150,534,1050
2025-12-21,京都,山本,31,1008567,2305028,Pいため鍋28cm,鍋,Pいため鍋,28cm,1002,水野商事,6,6906,1146,1151
2025-12-22,京都,中村,31,1008603,2805013,Nいため鍋28cm,鍋,Nいため鍋,28cm,1105,白鳥食堂,1,900,105,900
2025-12-22,京都,田中,31,1008606,2805014,N玉子焼中,フライパン,N玉子焼中,,1105,白鳥食堂,7,4977,742,711
2025-12-22,京都,佐藤,31,1008612,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1003,小沼興業,4,2204,1024,551
2025-12-24,京都,佐藤,31,1008618,805097,SPいため鍋28cm,鍋,SPいため鍋,28cm,1212,杉野興業,4,7000,1168,1750
