売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-10-01,名古屋,高橋,31,1005228,2305644,P片手天ぷら鍋20cm,鍋,P片手天ぷら鍋,20cm,1002,水野商事,6,8370,1770,1395
2025-10-01,名古屋,高橋,31,1005234,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,6,2130,360,355
2025-10-01,名古屋,鈴木,31,1005276,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1017,沢田工業,4,9400,1480,2350
2025-10-01,名古屋,伊藤,31,1005288,2305060,Pカセットコンロ用オイルプレート,プレート,Pカセットコンロ用オイルプレート,,1017,沢田工業,6,4680,504,780
2025-10-01,名古屋,鈴木,31,1005294,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1017,沢田工業,1,870,160,870
2025-10-01,名古屋,小林,31,1005309,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1022,首藤商事,7,5145,931,735
2025-10-01,名古屋,山本,31,1005312,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1022,首藤商事,6,3300,600,550
2025-10-01,名古屋,鈴木,31,1005321,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1024,蒼井食堂,6,3300,600,550
2025-10-01,名古屋,小林,31,1005324,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1024,蒼井食堂,6,6900,2940,1150
2025-10-01,名古屋,伊藤,31,1005330,2305052,Pイタメナベ28cm,鍋,Pイタメナベ,28cm,1024,蒼井食堂,6,7920,1440,1320
2025-10-01,名古屋,鈴木,31,1005345,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1024,蒼井食堂,5,12400,1600,2480
2025-10-01,名古屋,山本,31,1005360,805096,SP玉子焼中,フライパン,SP玉子焼中,,1024,蒼井食堂,6,6900,1392,1150
2025-10-01,名古屋,佐藤,31,1005375,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1153,米谷サービス,5,7900,1420,1580
2025-10-01,名古屋,佐藤,31,1005378,1905150,フライパン26cm,フライパン,フライパン,26cm,1153,米谷サービス,6,11676,2172,1946
2025-10-01,名古屋,田中,31,1005384,2305052,Pイタメナベ28cm,鍋,Pイタメナベ,28cm,1182,薬師丸本舗,5,6600,1200,1320
2025-10-01,名古屋,高橋,31,1005393,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1193,相馬事務所,5,4350,800,870
2025-10-02,名古屋,中村,31,1005450,2805013,Nいため鍋28cm,鍋,Nいため鍋,28cm,1407,田上企画,5,4500,525,900
2025-10-04,名古屋,鈴木,31,1005468,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1153,米谷サービス,4,8600,1400,2150
2025-10-08,名古屋,高橋,31,1005501,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1002,水野商事,57,48450,7980,850
