売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-09-01,大阪,高橋,30,1004133,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1153,米谷サービス,4,9920,1280,2480
2025-09-01,大阪,佐藤,30,1004136,2805014,N玉子焼中,フライパン,N玉子焼中,,1407,田上企画,5,3555,530,711
2025-09-03,大阪,田中,30,1004145,16805010,玉子焼,フライパン,玉子焼,,1022,首藤商事,23,11500,1840,500
2025-09-03,大阪,佐藤,30,1004148,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1022,首藤商事,4,9920,1280,2480
2025-09-03,大阪,渡辺,30,1004151,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1022,首藤商事,5,11750,1850,2350
2025-09-03,大阪,渡辺,30,1004157,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1153,米谷サービス,4,8600,1400,2150
2025-09-03,大阪,渡辺,30,1004160,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1193,相馬事務所,5,4350,800,870
2025-09-06,大阪,田中,30,1004166,15305001,鉄玉子,その他,鉄玉子,,1136,前川サービス,38,16720,3610,440
2025-09-06,大阪,伊藤,30,1004172,2305632,Pプラチナフライパン24cm,フライパン,Pプラチナフライパン,24cm,1154,加納企画,5,6750,1400,1350
2025-09-06,大阪,伊藤,30,1004175,2305031,Pフライパン22cm,フライパン,Pフライパン,22cm,1154,加納企画,5,3600,800,720
2025-09-06,大阪,渡辺,30,1004178,2305028,Pいため鍋28cm,鍋,Pいため鍋,28cm,1154,加納企画,4,5000,1160,1250
2025-09-07,大阪,渡辺,30,1004196,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1002,水野商事,7,3703,553,529
2025-09-07,大阪,山本,30,1004208,2305203,P温度計付両手天ぷら20M,鍋,P温度計付両手天ぷら,20M,1002,水野商事,7,9730,2030,1390
2025-09-07,大阪,田中,30,1004211,2305207,P中華お玉,お玉,P中華お玉,,1002,水野商事,7,3206,532,458
2025-09-07,大阪,伊藤,30,1004214,2305061,Pオイルポット1.6L,ポット,Pオイルポット,1.6L,1002,水野商事,7,6993,1113,999
2025-09-07,大阪,佐藤,30,1004217,2305218,PPいため鍋28cm,鍋,PPいため鍋,28cm,1002,水野商事,11,9724,1639,884
2025-09-07,大阪,高橋,30,1004220,2305644,P片手天ぷら鍋20cm,鍋,P片手天ぷら鍋,20cm,1002,水野商事,4,5580,1180,1395
2025-09-07,大阪,鈴木,30,1004238,605001,SSテンプラバットM,その他,SSテンプラバットM,,1002,水野商事,5,2600,500,520
2025-09-07,大阪,田中,30,1004247,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1017,沢田工業,5,4350,800,870
2025-09-07,大阪,鈴木,30,1004271,2305053,P温度計付天ぷら鍋22cm,鍋,P温度計付天ぷら鍋,22cm,1022,首藤商事,4,7880,1480,1970
2025-09-07,大阪,鈴木,30,1004289,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1023,寺田企画,5,4350,800,870
2025-09-07,大阪,鈴木,30,1004292,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1023,寺田企画,23,10465,1495,455
2025-09-07,大阪,田中,30,1004301,16805010,玉子焼,フライパン,玉子焼,,1024,蒼井食堂,23,11500,1840,500
2025-09-07,大阪,鈴木,30,1004304,1905148,タマゴヤキ,フライパン,タマゴヤキ,,1024,蒼井食堂,6,9576,1854,1596
2025-09-07,大阪,渡辺,30,1004316,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1153,米谷サービス,6,2160,390,360
2025-09-07,大阪,鈴木,30,1004319,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1182,薬師丸本舗,4,4600,1960,1150
2025-09-07,大阪,佐藤,30,1004322,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1193,相馬事務所,4,2200,400,550
