売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-07-01,札幌,山本,30,1001442,2305644,P片手天ぷら鍋20cm,鍋,P片手天ぷら鍋,20cm,1002,水野商事,2,2790,590,1395
2025-07-01,札幌,鈴木,30,1001460,2305206,Pフライパン20cm,フライパン,Pフライパン,20cm,1002,水野商事,1,623,103,623
2025-07-01,札幌,山本,30,1001544,2305052,Pイタメナベ28cm,鍋,Pイタメナベ,28cm,1024,蒼井食堂,2,2640,480,1320
2025-07-01,札幌,小林,30,1001574,16805008,PPフライパン26cm,フライパン,PPフライパン,26cm,1024,蒼井食堂,19,8740,1330,460
2025-07-01,札幌,田中,30,1001601,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1153,米谷サービス,1,1580,284,1580
2025-07-01,札幌,田中,30,1001604,2305632,Pプラチナフライパン24cm,フライパン,Pプラチナフライパン,24cm,1154,加納企画,1,1350,280,1350
2025-07-01,札幌,山本,30,1001610,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1182,薬師丸本舗,1,360,65,360
2025-07-08,札幌,鈴木,30,1001694,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,51,18105,3060,355
2025-07-08,札幌,伊藤,30,1001721,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1002,水野商事,31,24800,4340,800
2025-07-08,札幌,佐藤,30,1001769,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1022,首藤商事,3,1080,195,360
2025-07-08,札幌,佐藤,30,1001793,805089,SP目玉焼,フライパン,SP目玉焼,,1024,蒼井食堂,4,4320,864,1080
2025-07-08,札幌,鈴木,30,1001802,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1153,米谷サービス,2,720,130,360
2025-07-08,札幌,渡辺,30,1001811,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1193,相馬事務所,1,870,160,870
2025-07-08,札幌,佐藤,30,1001820,805099,SPフライパン24cm,フライパン,SPフライパン,24cm,1208,藤井興業,1,1400,212,1400
2025-07-08,札幌,中村,30,1001841,805089,SP目玉焼,フライパン,SP目玉焼,,1212,杉野興業,2,2160,432,1080
2025-07-10,札幌,小林,30,1001865,1905152,イタメナベ28cm,鍋,イタメナベ,28cm,1154,加納企画,1,2520,672,2520
2025-07-14,札幌,田中,30,1001913,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1002,水野商事,1,644,109,644
2025-07-14,札幌,渡辺,30,1001997,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1024,蒼井食堂,1,870,160,870
2025-07-14,札幌,高橋,30,1002009,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1093,山川事務所,9,4320,450,480
2025-07-14,札幌,小林,30,1002012,16805008,PPフライパン26cm,フライパン,PPフライパン,26cm,1093,山川事務所,9,4320,810,480
2025-07-14,札幌,佐藤,30,1002039,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1193,相馬事務所,1,1580,284,1580
2025-07-14,札幌,伊藤,30,1002042,15305001,鉄玉子,その他,鉄玉子,,1193,相馬事務所,1,440,95,440
2025-07-14,札幌,伊藤,30,1002057,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1210,池本工業,1,2480,320,2480
2025-07-15,札幌,鈴木,30,1002063,2805013,Nいため鍋28cm,鍋,Nいため鍋,28cm,1105,白鳥食堂,3,2700,315,900
2025-07-16,札幌,高橋,30,1002078,2305053,P温度計付天ぷら鍋22cm,鍋,P温度計付天ぷら鍋,22cm,1153,米谷サービス,1,1970,370,1970
2025-07-20,札幌,伊藤,30,1002159,15305001,鉄玉子,その他,鉄玉子,,1136,前川サービス,27,11880,2565,440
2025-07-21,札幌,佐藤,30,1002195,2305028,Pいため鍋28cm,鍋,Pいため鍋,28cm,1002,水野商事,3,3453,573,1151
2025-07-21,札幌,鈴木,30,1002201,16805006,温度計付天ぷら鍋21cm,鍋,温度計付天ぷら鍋,21cm,1002,水野商事,3,1740,150,580
2025-07-21,札幌,高橋,30,1002210,805100,SPフライパン22cm,フライパン,SPフライパン,22cm,1017,沢田工業,2,2600,440,1300
2025-07-21,札幌,渡辺,30,1002243,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1024,蒼井食堂,3,2610,480,870
2025-07-21,札幌,佐藤,30,1002267,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1212,杉野興業,2,1470,266,735
2025-07-22,札幌,佐藤,30,1002297,2805011,Nフライパン26cm,フライパン,Nフライパン,26cm,1175,小宮サービス,19,14535,2185,765
2025-07-22,札幌,鈴木,30,1002300,2805011,Nフライパン26cm,フライパン,Nフライパン,26cm,1329,野口学園,9,6885,1035,765
2025-07-24,札幌,渡辺,30,1002324,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1153,米谷サービス,1,1580,284,1580
2025-07-31,札幌,渡辺,30,1002564,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,44,15620,2640,355
2025-07-31,札幌,渡辺,30,1002582,2305219,P玉子焼き,フライパン,P玉子焼き,,1002,水野商事,31,9734,1643,314
2025-07-31,札幌,伊藤,30,1002591,2305028,Pいため鍋28cm,鍋,Pいため鍋,28cm,1002,水野商事,3,3453,573,1151
2025-07-31,札幌,山本,30,1002639,1905150,フライパン26cm,フライパン,フライパン,26cm,1017,沢田工業,5,9730,1810,1946
2025-07-31,札幌,佐藤,30,1002675,605001,SSテンプラバットM,その他,SSテンプラバットM,,1024,蒼井食堂,5,3900,1800,780
2025-07-31,札幌,渡辺,30,1002678,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1024,蒼井食堂,5,2750,500,550
2025-07-31,札幌,小林,30,1002693,15305001,鉄玉子,その他,鉄玉子,,1024,蒼井食堂,5,2200,475,440
2025-07-31,札幌,鈴木,30,1002705,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1024,蒼井食堂,22,10010,1430,455
2025-07-31,札幌,伊藤,30,1002714,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1093,山川事務所,12,5760,1080,480
2025-07-31,札幌,中村,30,1002723,2305631,P両手天ぷら20cm,鍋,P両手天ぷら,20cm,1153,米谷サービス,4,3600,800,900
2025-07-31,札幌,佐藤,30,1002726,1905150,フライパン26cm,フライパン,フライパン,26cm,1153,米谷サービス,5,9730,1810,1946
2025-07-31,札幌,高橋,30,1002771,1905158,フライパン28cm,フライパン,フライパン,28cm,1210,池本工業,3,4875,885,1625
