売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-09-01,東京,渡辺,30,1004139,2805012,Nいため鍋20cm,鍋,Nいため鍋,20cm,1407,田上企画,5,3710,560,742
2025-09-03,東京,渡辺,30,1004163,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1193,相馬事務所,1,870,160,870
2025-09-06,東京,佐藤,30,1004181,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1154,加納企画,5,3975,965,795
2025-09-06,東京,鈴木,30,1004184,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1205,川島食堂,4,5280,2640,1320
2025-09-06,東京,山本,30,1004187,2305631,P両手天ぷら20cm,鍋,P両手天ぷら,20cm,1205,川島食堂,4,3520,720,880
2025-09-07,東京,鈴木,30,1004232,2305638,Pフライパンカバー24~28用,フライパン,Pフライパンカバー,24~28用,1002,水野商事,6,1692,288,282
2025-09-07,東京,渡辺,30,1004268,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1022,首藤商事,7,2520,455,360
2025-09-07,東京,伊藤,30,1004283,1905150,フライパン26cm,フライパン,フライパン,26cm,1022,首藤商事,5,9730,1810,1946
2025-09-07,東京,伊藤,30,1004307,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1153,米谷サービス,4,3480,640,870
2025-09-07,東京,山本,30,1004343,1905149,フライパン24cm,フライパン,フライパン,24cm,1208,藤井興業,4,7280,1340,1820
2025-09-09,東京,佐藤,30,1004394,1905150,フライパン26cm,フライパン,フライパン,26cm,1154,加納企画,5,10800,2880,2160
2025-09-10,東京,鈴木,30,1004415,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1153,米谷サービス,4,8600,1400,2150
2025-09-13,東京,渡辺,30,1004433,15305001,鉄玉子,その他,鉄玉子,,1136,前川サービス,18,7920,1710,440
2025-09-14,東京,佐藤,30,1004460,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,57,20235,3420,355
2025-09-14,東京,田中,30,1004469,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1002,水野商事,5,3220,545,644
2025-09-14,東京,加藤,30,1004484,2305638,Pフライパンカバー24~28用,フライパン,Pフライパンカバー,24~28用,1002,水野商事,9,2538,432,282
2025-09-14,東京,渡辺,30,1004487,2305218,PPいため鍋28cm,鍋,PPいため鍋,28cm,1002,水野商事,8,7072,1192,884
2025-09-14,東京,伊藤,30,1004526,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1017,沢田工業,7,11060,1988,1580
2025-09-14,東京,渡辺,30,1004529,805097,SPいため鍋28cm,鍋,SPいため鍋,28cm,1017,沢田工業,8,14000,2336,1750
2025-09-14,東京,佐藤,30,1004538,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1017,沢田工業,5,12400,1600,2480
2025-09-14,東京,佐藤,30,1004601,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1153,米谷サービス,5,10750,1750,2150
2025-09-14,東京,渡辺,30,1004607,2305052,Pイタメナベ28cm,鍋,Pイタメナベ,28cm,1193,相馬事務所,4,5280,960,1320
2025-09-14,東京,高橋,30,1004631,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1212,杉野興業,6,5220,960,870
2025-09-15,東京,中村,30,1004643,2805014,N玉子焼中,フライパン,N玉子焼中,,1402,井沢商事,9,6399,954,711
2025-09-16,東京,鈴木,30,1004679,1305006,フライパンカバーセット,フライパン,フライパンカバーセット,,1210,池本工業,23,8970,1150,390
2025-09-17,東京,鈴木,30,1004688,2305631,P両手天ぷら20cm,鍋,P両手天ぷら,20cm,1024,蒼井食堂,5,4500,1000,900
2025-09-17,東京,中村,30,1004706,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1153,米谷サービス,6,2160,390,360
2025-09-17,東京,高橋,30,1004715,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1208,藤井興業,6,14100,2220,2350
2025-09-21,東京,鈴木,30,1004760,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1002,水野商事,14,10136,1708,724
2025-09-21,東京,鈴木,30,1004814,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1022,首藤商事,5,3325,650,665
2025-09-21,東京,田中,30,1004841,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1022,首藤商事,7,11060,1988,1580
2025-09-21,東京,田中,30,1004850,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1024,蒼井食堂,6,4410,798,735
2025-09-21,東京,伊藤,30,1004889,16805010,玉子焼,フライパン,玉子焼,,1212,杉野興業,23,11500,1840,500
2025-09-22,東京,山本,30,1004910,2805013,Nいため鍋28cm,鍋,Nいため鍋,28cm,1175,小宮サービス,23,20700,2415,900
2025-09-22,東京,渡辺,30,1004931,2805010,Nフライパン24cm,フライパン,Nフライパン,24cm,1407,田上企画,7,5194,784,742
2025-09-24,東京,高橋,30,1004943,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1153,米谷サービス,5,7900,1420,1580
2025-09-26,東京,佐藤,30,1004961,16805008,PPフライパン26cm,フライパン,PPフライパン,26cm,1017,沢田工業,43,19780,3010,460
2025-09-26,東京,小林,30,1004967,16805008,PPフライパン26cm,フライパン,PPフライパン,26cm,1024,蒼井食堂,63,28980,4410,460
2025-09-26,東京,田中,30,1004976,16805009,いため鍋28cm,鍋,いため鍋,28cm,1193,相馬事務所,23,14835,1495,645
2025-09-27,東京,田中,30,1004988,2305636,Pプラチナミニフライパン18cm,フライパン,Pプラチナミニフライパン,18cm,1154,加納企画,6,7500,1620,1250
2025-09-27,東京,鈴木,30,1005003,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1154,加納企画,6,4008,798,668
2025-09-27,東京,鈴木,30,1005012,805091,返軽フライパン26cm,フライパン,返軽フライパン,26cm,1154,加納企画,5,10450,1900,2090
2025-09-27,東京,鈴木,30,1005018,805090,返軽フライパン24cm,フライパン,返軽フライパン,24cm,1154,加納企画,5,9625,1750,1925
2025-09-27,東京,中村,30,1005021,805094,返軽炒めパン22cm,フライパン,返軽炒めパン,22cm,1154,加納企画,6,10560,1920,1760
2025-09-28,東京,渡辺,30,1005051,2305203,P温度計付両手天ぷら20M,鍋,P温度計付両手天ぷら,20M,1002,水野商事,5,6950,1450,1390
