売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-07-01,福岡,高橋,30,1001472,2305639,P鉄製フライパン26cm,フライパン,P鉄製フライパン,26cm,1002,水野商事,7,7350,1246,1050
2025-07-01,福岡,佐藤,30,1001547,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1024,蒼井食堂,2,2300,980,1150
2025-07-01,福岡,渡辺,30,1001595,2305630,Pスタミナ両手天ぷら20cm,鍋,Pスタミナ両手天ぷら,20cm,1153,米谷サービス,1,900,200,900
2025-07-02,福岡,山本,30,1001658,2805014,N玉子焼中,フライパン,N玉子焼中,,1407,田上企画,1,711,106,711
2025-07-10,福岡,山本,30,1001880,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1182,薬師丸本舗,1,735,133,735
2025-07-10,福岡,田中,30,1001883,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1193,相馬事務所,1,2480,320,2480
2025-07-14,福岡,鈴木,30,1001925,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1002,水野商事,53,45050,7420,850
2025-07-18,福岡,渡辺,30,1002153,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1212,杉野興業,19,8645,475,455
2025-07-21,福岡,高橋,30,1002198,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1002,水野商事,16,12800,2240,800
2025-07-21,福岡,高橋,30,1002216,805091,返軽フライパン26cm,フライパン,返軽フライパン,26cm,1019,小杉本舗,4,8208,1368,2052
2025-07-21,福岡,田中,30,1002219,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1022,首藤商事,2,1100,200,550
2025-07-21,福岡,佐藤,30,1002258,2305219,P玉子焼き,フライパン,P玉子焼き,,1208,藤井興業,1,320,59,320
2025-07-27,福岡,佐藤,30,1002402,805091,返軽フライパン26cm,フライパン,返軽フライパン,26cm,1154,加納企画,1,2090,380,2090
2025-07-28,福岡,鈴木,30,1002426,2305031,Pフライパン22cm,フライパン,Pフライパン,22cm,1002,水野商事,2,1342,222,671
2025-07-28,福岡,田中,30,1002459,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1212,杉野興業,1,1150,490,1150
2025-07-31,福岡,高橋,30,1002588,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1002,水野商事,10,5290,790,529
2025-07-31,福岡,佐藤,30,1002660,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1022,首藤商事,5,7900,1420,1580
